date,away_team,away_points,home_team,home_points
2025-10-21,Houston Rockets,124.00,Oklahoma City Thunder,125.00
2025-10-21,Golden State Warriors,119.00,Los Angeles Lakers,109.00
2025-10-22,Brooklyn Nets,117.00,Charlotte Hornets,136.00
2025-10-22,Cleveland Cavaliers,111.00,New York Knicks,119.00
2025-10-22,Miami Heat,121.00,Orlando Magic,125.00
2025-10-22,Philadelphia 76ers,117.00,Boston Celtics,116.00
2025-10-22,Toronto Raptors,138.00,Atlanta Hawks,118.00
2025-10-22,Detroit Pistons,111.00,Chicago Bulls,115.00
2025-10-22,New Orleans Pelicans,122.00,Memphis Grizzlies,128.00
2025-10-22,Washington Wizards,120.00,Milwaukee Bucks,133.00
2025-10-22,Los Angeles Clippers,108.00,Utah Jazz,129.00
2025-10-22,San Antonio Spurs,125.00,Dallas Mavericks,92.00
2025-10-22,Minnesota Timberwolves,118.00,Portland Trail Blazers,114.00
2025-10-22,Sacramento Kings,116.00,Phoenix Suns,120.00
2025-10-23,Oklahoma City Thunder,141.00,Indiana Pacers,135.00
2025-10-23,Denver Nuggets,131.00,Golden State Warriors,137.00
2025-10-24,Milwaukee Bucks,122.00,Toronto Raptors,116.00
2025-10-24,Atlanta Hawks,111.00,Orlando Magic,107.00
2025-10-24,Cleveland Cavaliers,131.00,Brooklyn Nets,124.00
2025-10-24,Boston Celtics,95.00,New York Knicks,105.00
2025-10-24,Detroit Pistons,115.00,Houston Rockets,111.00
2025-10-24,San Antonio Spurs,120.00,New Orleans Pelicans,116.00
2025-10-24,Miami Heat,146.00,Memphis Grizzlies,114.00
2025-10-24,Washington Wizards,117.00,Dallas Mavericks,107.00
2025-10-24,Minnesota Timberwolves,110.00,Los Angeles Lakers,128.00
2025-10-24,Golden State Warriors,119.00,Portland Trail Blazers,139.00
2025-10-24,Utah Jazz,104.00,Sacramento Kings,105.00
2025-10-24,Phoenix Suns,102.00,Los Angeles Clippers,129.00
2025-10-25,Chicago Bulls,110.00,Orlando Magic,98.00
2025-10-25,Oklahoma City Thunder,117.00,Atlanta Hawks,100.00
2025-10-25,Charlotte Hornets,121.00,Philadelphia 76ers,125.00
2025-10-25,Indiana Pacers,103.00,Memphis Grizzlies,128.00
2025-10-25,Phoenix Suns,111.00,Denver Nuggets,133.00
2025-10-26,Brooklyn Nets,107.00,San Antonio Spurs,118.00
2025-10-26,Boston Celtics,113.00,Detroit Pistons,119.00
2025-10-26,Charlotte Hornets,139.00,Washington Wizards,113.00
2025-10-26,New York Knicks,107.00,Miami Heat,115.00
2025-10-26,Milwaukee Bucks,113.00,Cleveland Cavaliers,118.00
2025-10-26,Indiana Pacers,110.00,Minnesota Timberwolves,114.00
2025-10-26,Toronto Raptors,129.00,Dallas Mavericks,139.00
2025-10-26,Los Angeles Lakers,127.00,Sacramento Kings,120.00
2025-10-26,Portland Trail Blazers,107.00,Los Angeles Clippers,114.00
2025-10-27,Cleveland Cavaliers,116.00,Detroit Pistons,95.00
2025-10-27,Orlando Magic,124.00,Philadelphia 76ers,136.00
2025-10-27,Atlanta Hawks,123.00,Chicago Bulls,128.00
2025-10-27,Brooklyn Nets,109.00,Houston Rockets,137.00
2025-10-27,Boston Celtics,122.00,New Orleans Pelicans,90.00
2025-10-27,Toronto Raptors,103.00,San Antonio Spurs,121.00
2025-10-27,Oklahoma City Thunder,101.00,Dallas Mavericks,94.00
2025-10-27,Phoenix Suns,134.00,Utah Jazz,138.00
2025-10-27,Denver Nuggets,127.00,Minnesota Timberwolves,114.00
2025-10-27,Memphis Grizzlies,118.00,Golden State Warriors,131.00
2025-10-27,Portland Trail Blazers,122.00,Los Angeles Lakers,108.00
2025-10-28,Philadelphia 76ers,139.00,Washington Wizards,134.00
2025-10-28,Charlotte Hornets,117.00,Miami Heat,144.00
2025-10-28,New York Knicks,111.00,Milwaukee Bucks,121.00
2025-10-28,Sacramento Kings,101.00,Oklahoma City Thunder,107.00
