date,home_team,away_team,home_points,away_points,home_moneyline,away_moneyline,spread_close
2010-10-26,Boston Celtics,Miami Heat,88,80,105.0,-125.0,1.0
2010-10-26,Portland Trail Blazers,Phoenix Suns,106,92,-310.0,255.0,-7.0
2010-10-26,Los Angeles Lakers,Houston Rockets,112,110,-310.0,255.0,-6.5
2010-10-27,Cleveland Cavaliers,Boston Celtics,95,87,170.0,-200.0,4.5
2010-10-27,New Jersey Nets,Detroit Pistons,101,98,-165.0,145.0,-4.0
2010-10-27,Philadelphia 76ers,Miami Heat,87,97,310.0,-380.0,8.0
2010-10-27,Toronto Raptors,New York Knicks,93,98,-114.0,103.0,-1.0
2010-10-27,Memphis Grizzlies,Atlanta Hawks,104,119,-130.0,110.0,-2.0
2010-10-27,Minnesota Timberwolves,Sacramento Kings,116,117,-155.0,135.0,-3.5
2010-10-27,New Orleans Hornets,Milwaukee Bucks,95,91,-150.0,130.0,-3.0
2010-10-27,Oklahoma City Thunder,Chicago Bulls,106,95,-270.0,230.0,-6.5
2010-10-27,Dallas Mavericks,Charlotte Bobcats,101,86,-300.0,250.0,-7.0
2010-10-27,San Antonio Spurs,Indiana Pacers,122,109,-430.0,335.0,-8.5
2010-10-27,Denver Nuggets,Utah Jazz,110,88,-155.0,135.0,-3.0
2010-10-27,Golden State Warriors,Houston Rockets,132,128,-155.0,135.0,-3.5
2010-10-27,Los Angeles Clippers,Portland Trail Blazers,88,98,120.0,-140.0,2.5
2010-10-28,Orlando Magic,Washington Wizards,112,83,-1450.0,1025.0,-13.5
2010-10-28,Utah Jazz,Phoenix Suns,94,110,-320.0,260.0,-7.5
2010-10-29,Charlotte Bobcats,Indiana Pacers,101,104,-200.0,170.0,-5.0
2010-10-29,New Jersey Nets,Sacramento Kings,106,100,-135.0,115.0,-2.0
2010-10-29,Philadelphia 76ers,Atlanta Hawks,101,104,145.0,-165.0,3.5
2010-10-29,Toronto Raptors,Cleveland Cavaliers,101,81,-170.0,150.0,-4.0
2010-10-29,Boston Celtics,New York Knicks,105,101,-500.0,400.0,-9.5
2010-10-29,Detroit Pistons,Oklahoma City Thunder,104,105,220.0,-260.0,6.0
2010-10-29,Miami Heat,Orlando Magic,96,70,-160.0,140.0,-3.5
2010-10-29,Minnesota Timberwolves,Milwaukee Bucks,96,85,165.0,-190.0,4.5
2010-10-29,New Orleans Hornets,Denver Nuggets,101,95,-130.0,110.0,-2.0
2010-10-29,Dallas Mavericks,Memphis Grizzlies,90,91,-500.0,400.0,-9.0
2010-10-29,Golden State Warriors,Los Angeles Clippers,109,91,-260.0,220.0,-6.0
2010-10-29,Phoenix Suns,Los Angeles Lakers,106,114,160.0,-180.0,4.0
2010-10-30,Atlanta Hawks,Washington Wizards,99,95,-550.0,425.0,-9.0
2010-10-30,Cleveland Cavaliers,Sacramento Kings,104,107,-135.0,115.0,-3.0
2010-10-30,New York Knicks,Portland Trail Blazers,95,100,165.0,-190.0,5.0
2010-10-30,Indiana Pacers,Philadelphia 76ers,99,86,-210.0,175.0,-5.5
2010-10-30,Chicago Bulls,Detroit Pistons,101,91,-550.0,425.0,-9.0
2010-10-30,Memphis Grizzlies,Minnesota Timberwolves,109,89,-370.0,305.0,-7.0
2010-10-30,Houston Rockets,Denver Nuggets,94,107,-230.0,190.0,-5.0
2010-10-30,Milwaukee Bucks,Charlotte Bobcats,98,88,-250.0,210.0,-5.5
2010-10-30,San Antonio Spurs,New Orleans Hornets,90,99,-450.0,350.0,-9.0
2010-10-31,New Jersey Nets,Miami Heat,78,101,400.0,-500.0,9.0
2010-10-31,Los Angeles Clippers,Dallas Mavericks,83,99,185.0,-225.0,5.5
2010-10-31,Oklahoma City Thunder,Utah Jazz,99,120,-280.0,240.0,-7.0
2010-10-31,Los Angeles Lakers,Golden State Warriors,107,83,-600.0,450.0,-9.5
2010-11-01,Chicago Bulls,Portland Trail Blazers,110,98,100.0,-110.0,0.0
2010-11-01,Sacramento Kings,Toronto Raptors,111,108,-240.0,200.0,-6.0
2010-11-01,Los Angeles Clippers,San Antonio Spurs,88,97,310.0,-380.0,8.0
2010-11-02,Cleveland Cavaliers,Atlanta Hawks,88,100,130.0,-150.0,3.0
2010-11-02,Washington Wizards,Philadelphia 76ers,116,115,-145.0,125.0,-3.0
2010-11-02,Detroit Pistons,Boston Celtics,86,109,245.0,-290.0,6.0
2010-11-02,Miami Heat,Minnesota Timberwolves,129,97,-4600.0,1850.0,-16.5
2011-03-28,New York Knicks,Orlando Magic,113,106,115.0,-135.0,2.5
2010-11-02,Milwaukee Bucks,Portland Trail Blazers,76,90,-145.0,125.0,-3.0
2010-11-02,Los Angeles Lakers,Memphis Grizzlies,124,105,-500.0,400.0,-9.0
2010-11-03,Atlanta Hawks,Detroit Pistons,94,85,-600.0,450.0,-10.0
2010-11-03,New Jersey Nets,Charlotte Bobcats,83,85,-140.0,120.0,-0.0
2010-11-03,Orlando Magic,Minnesota Timberwolves,128,86,-6500.0,3000.0,-18.0
2010-11-03,Philadelphia 76ers,Indiana Pacers,101,75,120.0,-140.0,2.5
2010-11-03,Boston Celtics,Milwaukee Bucks,105,102,-400.0,320.0,-8.0
2010-11-03,Houston Rockets,New Orleans Hornets,99,107,-220.0,180.0,-5.0
2010-11-03,Denver Nuggets,Dallas Mavericks,101,102,-175.0,155.0,-3.0
2010-11-03,Utah Jazz,Toronto Raptors,125,108,-700.0,500.0,-10.5
2010-11-03,Phoenix Suns,San Antonio Spurs,110,112,102.0,-113.0,1.0
2010-11-03,Golden State Warriors,Memphis Grizzlies,115,109,-170.0,150.0,-4.5
2010-11-03,Los Angeles Clippers,Oklahoma City Thunder,107,92,335.0,-430.0,8.5
2010-11-03,Sacramento Kings,Los Angeles Lakers,100,112,200.0,-240.0,5.0
2010-11-04,Chicago Bulls,New York Knicks,112,120,-270.0,230.0,-6.0
2010-11-04,Portland Trail Blazers,Oklahoma City Thunder,106,107,-230.0,190.0,-6.0
2010-11-05,Indiana Pacers,Milwaukee Bucks,90,94,-145.0,125.0,-3.0
2010-11-05,Orlando Magic,New Jersey Nets,105,90,-4000.0,1900.0,-16.5
2010-11-05,Philadelphia 76ers,Cleveland Cavaliers,116,123,-210.0,175.0,-5.0
2010-11-05,Detroit Pistons,Charlotte Bobcats,97,90,-108.0,-102.0,-0.0
2010-11-05,New York Knicks,Washington Wizards,112,91,-240.0,200.0,-5.5
2010-11-05,Boston Celtics,Chicago Bulls,110,105,-350.0,290.0,-7.5
2010-11-05,Minnesota Timberwolves,Atlanta Hawks,103,113,255.0,-310.0,6.5
2010-11-05,New Orleans Hornets,Miami Heat,96,93,230.0,-270.0,6.5
2010-11-05,Phoenix Suns,Memphis Grizzlies,123,118,-240.0,200.0,-6.0
2010-11-05,Denver Nuggets,Los Angeles Clippers,111,104,-750.0,550.0,-10.0
2010-11-05,Golden State Warriors,Utah Jazz,85,78,115.0,-135.0,1.5
2010-11-05,Los Angeles Lakers,Toronto Raptors,108,103,-1700.0,1125.0,-13.0
2010-11-06,Charlotte Bobcats,Orlando Magic,88,91,250.0,-300.0,6.0
2010-11-06,Washington Wizards,Cleveland Cavaliers,102,107,-180.0,160.0,-4.5
2010-11-06,Miami Heat,New Jersey Nets,101,89,-5250.0,2000.0,-17.0
2010-11-06,Milwaukee Bucks,New Orleans Hornets,81,87,-155.0,135.0,-4.0
2010-11-06,San Antonio Spurs,Houston Rockets,124,121,-270.0,230.0,-6.5
2010-11-06,Dallas Mavericks,Denver Nuggets,92,103,-270.0,230.0,-6.5
2010-11-06,Utah Jazz,Los Angeles Clippers,109,107,-900.0,650.0,-11.0
2010-11-06,Portland Trail Blazers,Toronto Raptors,97,84,-950.0,736.0,-12.0
2010-11-06,Sacramento Kings,Memphis Grizzlies,91,100,-210.0,175.0,-6.0
2010-11-07,New York Knicks,Philadelphia 76ers,96,106,-300.0,250.0,-7.0
2010-11-07,Atlanta Hawks,Phoenix Suns,114,118,-230.0,190.0,-5.5
2010-11-07,Detroit Pistons,Golden State Warriors,102,97,115.0,-135.0,2.0
2010-11-07,Houston Rockets,Minnesota Timberwolves,120,94,-420.0,330.0,-9.0
2010-11-07,Oklahoma City Thunder,Boston Celtics,83,92,-135.0,115.0,-2.5
2010-11-07,Los Angeles Lakers,Portland Trail Blazers,121,96,-350.0,290.0,-7.0
2010-11-08,Charlotte Bobcats,San Antonio Spurs,91,95,155.0,-175.0,4.0
2010-11-08,Orlando Magic,Atlanta Hawks,93,89,-440.0,340.0,-9.0
2010-11-08,Toronto Raptors,Golden State Warriors,102,109,-103.0,-107.0,0.0
2010-11-08,Chicago Bulls,Denver Nuggets,94,92,-130.0,110.0,-2.0
2010-11-08,Memphis Grizzlies,Phoenix Suns,109,99,-200.0,170.0,-5.0
2010-11-08,Dallas Mavericks,Boston Celtics,89,87,-160.0,140.0,-3.5
2010-11-09,Indiana Pacers,Denver Nuggets,144,113,110.0,-130.0,1.5
2010-11-09,New Jersey Nets,Cleveland Cavaliers,91,93,-140.0,120.0,-2.5
2010-11-09,Miami Heat,Utah Jazz,114,116,-600.0,450.0,-9.0
2010-11-09,Milwaukee Bucks,New York Knicks,107,80,-230.0,190.0,-5.5
2010-11-09,New Orleans Hornets,Los Angeles Clippers,101,82,-500.0,400.0,-9.5
2010-11-09,Portland Trail Blazers,Detroit Pistons,100,78,-650.0,475.0,-10.0
2010-11-09,Los Angeles Lakers,Minnesota Timberwolves,99,94,-4437.0,1937.0,-17.5
2010-11-10,Atlanta Hawks,Milwaukee Bucks,91,108,-280.0,240.0,-6.5
2010-11-10,Orlando Magic,Utah Jazz,94,104,-700.0,500.0,-10.5
2010-11-10,Toronto Raptors,Charlotte Bobcats,96,101,-107.0,-103.0,-1.0
2010-11-10,Washington Wizards,Houston Rockets,98,91,145.0,-165.0,3.5
2010-11-10,Cleveland Cavaliers,New Jersey Nets,87,95,-180.0,160.0,-4.0
2010-11-10,New York Knicks,Golden State Warriors,117,122,-155.0,135.0,-3.0
2010-11-10,Memphis Grizzlies,Dallas Mavericks,91,106,-103.0,-107.0,1.0
2010-11-10,Oklahoma City Thunder,Philadelphia 76ers,109,103,-450.0,350.0,-8.5
2010-11-10,San Antonio Spurs,Los Angeles Clippers,107,95,-1800.0,1150.0,-13.5
2010-11-10,Sacramento Kings,Minnesota Timberwolves,89,98,-600.0,450.0,-10.5
2010-11-11,Miami Heat,Boston Celtics,107,112,-320.0,260.0,-7.5
